2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:25		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:26		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:26		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:26		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:26		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:26		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:26		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:27		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:28		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:29		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:30		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:31		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_16012020_051629.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:32		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:33		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:34		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:35		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:36		 wafer_20022020_090716.csv: File loaded successfully!!
2021-12-09/17:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-12-09/17:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
